"Factor","EQ_Profile","Odds_Ratio","Median_Odds_Ratio","SD","CI_2_5","CI_97_5"
"Enjoyment (vs. Null)","BassCut",1.14,NA,0.25,0.73,1.72
"Enjoyment (vs. Null)","HighCut",0.83,NA,0.23,0.47,1.36
"Enjoyment (vs. Null)","VShape",0.78,NA,0.26,0.4,1.43
"Enjoyment (vs. Null)","VocalReduce",1.32,NA,0.5,0.6,2.5
"Distraction (vs. Null)","BassCut",1.21,NA,0.28,0.78,1.84
"Distraction (vs. Null)","HighCut",2.63,NA,0.65,1.56,4.1
"Distraction (vs. Null)","VShape",0.93,NA,0.31,0.47,1.67
"Distraction (vs. Null)","VocalReduce",4.79,NA,1.61,2.47,8.56
"Relaxation (vs. Null)","BassCut",0.88,NA,0.2,0.55,1.34
"Relaxation (vs. Null)","HighCut",2.62,NA,0.63,1.59,4.07
"Relaxation (vs. Null)","VShape",1.57,NA,0.5,0.82,2.76
"Relaxation (vs. Null)","VocalReduce",3.41,NA,1.16,1.7,6.23
"Focus-Motivation (vs. Null)","BassCut",1.55,NA,0.33,1.01,2.28
"Focus-Motivation (vs. Null)","HighCut",1.24,NA,0.33,0.72,2.04
"Focus-Motivation (vs. Null)","VShape",1.37,NA,0.42,0.72,2.33
"Focus-Motivation (vs. Null)","VocalReduce",1.36,NA,0.52,0.62,2.62
"Diesel (vs. EV)","BassCut",2.83,NA,0.4,2.11,3.72
"Diesel (vs. EV)","HighCut",0.74,NA,0.11,0.54,0.98
"Diesel (vs. EV)","VShape",0.69,NA,0.14,0.45,1
"Diesel (vs. EV)","VocalReduce",0.83,NA,0.16,0.56,1.18
"Excerpt","BassCut",NA,1.46,0.18,1.09,1.83
"Excerpt","HighCut",NA,1.7,0.2,1.36,2.16
"Excerpt","VShape",NA,3.94,0.87,2.83,6.19
"Excerpt","VocalReduce",NA,2.2,0.33,1.72,2.97
"Participant ","BassCut",NA,2.75,0.32,2.23,3.49
"Participant ","HighCut",NA,2.56,0.33,2.03,3.33
"Participant ","VShape",NA,3.11,0.56,2.28,4.47
"Participant ","VocalReduce",NA,2.35,0.4,1.7,3.26
